filename,sample_label,experiment_label,condition,bio_rep
F1_1_S45_L007_R1_001.fastq.gz,F1_1,Metals,t1_Fe_deplete,1
F1_1_S45_L007_R2_001.fastq.gz,F1_1,Metals,t1_Fe_deplete,1
F1_2_S46_L007_R1_001.fastq.gz,F1_2,Metals,t1_Fe_deplete,1
F1_2_S46_L007_R2_001.fastq.gz,F1_2,Metals,t1_Fe_deplete,1
F2_1_S47_L007_R1_001.fastq.gz,F2_1,Metals,t1_Fe_deplete,2
F2_1_S47_L007_R2_001.fastq.gz,F2_1,Metals,t1_Fe_deplete,2
F2_2_S48_L007_R1_001.fastq.gz,F2_2,Metals,t1_Fe_deplete,2
F2_2_S48_L007_R2_001.fastq.gz,F2_2,Metals,t1_Fe_deplete,2
F3_1_S49_L007_R1_001.fastq.gz,F3_1,Metals,t1_Fe_deplete,3
F3_1_S49_L007_R2_001.fastq.gz,F3_1,Metals,t1_Fe_deplete,3
F3_2_S50_L007_R1_001.fastq.gz,F3_2,Metals,t1_Fe_deplete,3
F3_2_S50_L007_R2_001.fastq.gz,F3_2,Metals,t1_Fe_deplete,3
M1_1_S51_L007_R1_001.fastq.gz,M1_1,Metals,t1_Mn_deplete,1
M1_1_S51_L007_R2_001.fastq.gz,M1_1,Metals,t1_Mn_deplete,1
M1_2_S52_L007_R1_001.fastq.gz,M1_2,Metals,t1_Mn_deplete,1
M1_2_S52_L007_R2_001.fastq.gz,M1_2,Metals,t1_Mn_deplete,1
M2_1_S53_L007_R1_001.fastq.gz,M2_1,Metals,t1_Mn_deplete,2
M2_1_S53_L007_R2_001.fastq.gz,M2_1,Metals,t1_Mn_deplete,2
M2_2_S54_L007_R1_001.fastq.gz,M2_2,Metals,t1_Mn_deplete,2
M2_2_S54_L007_R2_001.fastq.gz,M2_2,Metals,t1_Mn_deplete,2
M3_1_S55_L007_R1_001.fastq.gz,M3_1,Metals,t1_Mn_deplete,3
M3_1_S55_L007_R2_001.fastq.gz,M3_1,Metals,t1_Mn_deplete,3
M3_2_S56_L007_R1_001.fastq.gz,M3_2,Metals,t1_Mn_deplete,3
M3_2_S56_L007_R2_001.fastq.gz,M3_2,Metals,t1_Mn_deplete,3
R1_1_S39_L007_R1_001.fastq.gz,R1_1,Metals,t1_Fe_replete,1
R1_1_S39_L007_R2_001.fastq.gz,R1_1,Metals,t1_Fe_replete,1
R1_2_S40_L007_R1_001.fastq.gz,R1_2,Metals,t1_Fe_replete,1
R1_2_S40_L007_R2_001.fastq.gz,R1_2,Metals,t1_Fe_replete,1
R2_1_S41_L007_R1_001.fastq.gz,R2_1,Metals,t1_Fe_replete,2
R2_1_S41_L007_R2_001.fastq.gz,R2_1,Metals,t1_Fe_replete,2
R2_2_S42_L007_R1_001.fastq.gz,R2_2,Metals,t1_Fe_replete,2
R2_2_S42_L007_R2_001.fastq.gz,R2_2,Metals,t1_Fe_replete,2
R3_1_S43_L007_R1_001.fastq.gz,R3_1,Metals,t1_Fe_replete,3
R3_1_S43_L007_R2_001.fastq.gz,R3_1,Metals,t1_Fe_replete,3
R3_2_S44_L007_R1_001.fastq.gz,R3_2,Metals,t1_Fe_replete,3
R3_2_S44_L007_R2_001.fastq.gz,R3_2,Metals,t1_Fe_replete,3
t0_NH4_1_S1_L007_R1_001.fastq.gz,t0_NH4_1,Metals,t0,1
t0_NH4_1_S1_L007_R2_001.fastq.gz,t0_NH4_1,Metals,t0,1
t0_NH4_2_S2_L007_R1_001.fastq.gz,t0_NH4_2,Metals,t0,1
t0_NH4_2_S2_L007_R2_001.fastq.gz,t0_NH4_2,Metals,t0,1
t0_NH4_1_S1_L007_R1_001.fastq.gz,t0_NH4_1,Nitrogen,t0,1
t0_NH4_1_S1_L007_R2_001.fastq.gz,t0_NH4_1,Nitrogen,t0,1
t0_NH4_2_S2_L007_R1_001.fastq.gz,t0_NH4_2,Nitrogen,t0,1
t0_NH4_2_S2_L007_R2_001.fastq.gz,t0_NH4_2,Nitrogen,t0,1
t1_NH4_1_1_S3_L007_R1_001.fastq.gz,t1_NH4_1_1,Nitrogen,t1_NH4_growth,1
t1_NH4_1_1_S3_L007_R2_001.fastq.gz,t1_NH4_1_1,Nitrogen,t1_NH4_growth,1
t1_NH4_1_2_S4_L007_R1_001.fastq.gz,t1_NH4_1_2,Nitrogen,t1_NH4_growth,1
t1_NH4_1_2_S4_L007_R2_001.fastq.gz,t1_NH4_1_2,Nitrogen,t1_NH4_growth,1
t1_NH4_2_1_S5_L007_R1_001.fastq.gz,t1_NH4_2_1,Nitrogen,t1_NH4_growth,2
t1_NH4_2_1_S5_L007_R2_001.fastq.gz,t1_NH4_2_1,Nitrogen,t1_NH4_growth,2
t1_NH4_2_2_S6_L007_R1_001.fastq.gz,t1_NH4_2_2,Nitrogen,t1_NH4_growth,2
t1_NH4_2_2_S6_L007_R2_001.fastq.gz,t1_NH4_2_2,Nitrogen,t1_NH4_growth,2
t1_NH4_3_1_S7_L007_R1_001.fastq.gz,t1_NH4_3_1,Nitrogen,t1_NH4_growth,3
t1_NH4_3_1_S7_L007_R2_001.fastq.gz,t1_NH4_3_1,Nitrogen,t1_NH4_growth,3
t1_NH4_3_2_S8_L007_R1_001.fastq.gz,t1_NH4_3_2,Nitrogen,t1_NH4_growth,3
t1_NH4_3_2_S8_L007_R2_001.fastq.gz,t1_NH4_3_2,Nitrogen,t1_NH4_growth,3
t2_-N_1_1_S9_L007_R1_001.fastq.gz,t2_-N_1_1,Nitrogen,t2_N_stress,1
t2_-N_1_1_S9_L007_R2_001.fastq.gz,t2_-N_1_1,Nitrogen,t2_N_stress,1
t2_-N_1_2_S10_L007_R1_001.fastq.gz,t2_-N_1_2,Nitrogen,t2_N_stress,1
t2_-N_1_2_S10_L007_R2_001.fastq.gz,t2_-N_1_2,Nitrogen,t2_N_stress,1
t2_-N_2_1_S11_L007_R1_001.fastq.gz,t2_-N_2_1,Nitrogen,t2_N_stress,2
t2_-N_2_1_S11_L007_R2_001.fastq.gz,t2_-N_2_1,Nitrogen,t2_N_stress,2
t2_-N_2_2_S12_L007_R1_001.fastq.gz,t2_-N_2_2,Nitrogen,t2_N_stress,2
t2_-N_2_2_S12_L007_R2_001.fastq.gz,t2_-N_2_2,Nitrogen,t2_N_stress,2
t2_-N_3_1_S13_L007_R1_001.fastq.gz,t2_-N_3_1,Nitrogen,t2_N_stress,3
t2_-N_3_1_S13_L007_R2_001.fastq.gz,t2_-N_3_1,Nitrogen,t2_N_stress,3
t2_-N_3_2_S14_L007_R1_001.fastq.gz,t2_-N_3_2,Nitrogen,t2_N_stress,3
t2_-N_3_2_S14_L007_R2_001.fastq.gz,t2_-N_3_2,Nitrogen,t2_N_stress,3
t3_NH4_1_1_S15_L007_R1_001.fastq.gz,t3_NH4_1_1,Nitrogen,t3_NH4_recovery,1
t3_NH4_1_1_S15_L007_R2_001.fastq.gz,t3_NH4_1_1,Nitrogen,t3_NH4_recovery,1
t3_NH4_1_2_S16_L007_R1_001.fastq.gz,t3_NH4_1_2,Nitrogen,t3_NH4_recovery,1
t3_NH4_1_2_S16_L007_R2_001.fastq.gz,t3_NH4_1_2,Nitrogen,t3_NH4_recovery,1
t3_NH4_2_1_S17_L007_R1_001.fastq.gz,t3_NH4_2_1,Nitrogen,t3_NH4_recovery,2
t3_NH4_2_1_S17_L007_R2_001.fastq.gz,t3_NH4_2_1,Nitrogen,t3_NH4_recovery,2
t3_NH4_2_2_S18_L007_R1_001.fastq.gz,t3_NH4_2_2,Nitrogen,t3_NH4_recovery,2
t3_NH4_2_2_S18_L007_R2_001.fastq.gz,t3_NH4_2_2,Nitrogen,t3_NH4_recovery,2
t3_NH4_3_1_S19_L007_R1_001.fastq.gz,t3_NH4_3_1,Nitrogen,t3_NH4_recovery,3
t3_NH4_3_1_S19_L007_R2_001.fastq.gz,t3_NH4_3_1,Nitrogen,t3_NH4_recovery,3
t3_NH4_3_2_S20_L007_R1_001.fastq.gz,t3_NH4_3_2,Nitrogen,t3_NH4_recovery,3
t3_NH4_3_2_S20_L007_R2_001.fastq.gz,t3_NH4_3_2,Nitrogen,t3_NH4_recovery,3
t3_NO3_1_1_S21_L007_R1_001.fastq.gz,t3_NO3_1_1,Nitrogen,t3_NO3_recovery,1
t3_NO3_1_1_S21_L007_R2_001.fastq.gz,t3_NO3_1_1,Nitrogen,t3_NO3_recovery,1
t3_NO3_1_2_S22_L007_R1_001.fastq.gz,t3_NO3_1_2,Nitrogen,t3_NO3_recovery,1
t3_NO3_1_2_S22_L007_R2_001.fastq.gz,t3_NO3_1_2,Nitrogen,t3_NO3_recovery,1
t3_NO3_2_1_S23_L007_R1_001.fastq.gz,t3_NO3_2_1,Nitrogen,t3_NO3_recovery,2
t3_NO3_2_1_S23_L007_R2_001.fastq.gz,t3_NO3_2_1,Nitrogen,t3_NO3_recovery,2
t3_NO3_2_2_S24_L007_R1_001.fastq.gz,t3_NO3_2_2,Nitrogen,t3_NO3_recovery,2
t3_NO3_2_2_S24_L007_R2_001.fastq.gz,t3_NO3_2_2,Nitrogen,t3_NO3_recovery,2
t3_NO3_3_1_S25_L007_R1_001.fastq.gz,t3_NO3_3_1,Nitrogen,t3_NO3_recovery,3
t3_NO3_3_1_S25_L007_R2_001.fastq.gz,t3_NO3_3_1,Nitrogen,t3_NO3_recovery,3
t3_NO3_3_2_S26_L007_R1_001.fastq.gz,t3_NO3_3_2,Nitrogen,t3_NO3_recovery,3
t3_NO3_3_2_S26_L007_R2_001.fastq.gz,t3_NO3_3_2,Nitrogen,t3_NO3_recovery,3
