Experiment,Treatment_Col,Control_Col,Analyze_Flag
Metals,t1_Fe_deplete|beta,t1_Mn_deplete|beta,1
Metals,t1_Fe_deplete|beta,t1_Fe_replete|beta,1
Metals,t1_Mn_deplete|beta,t1_Fe_deplete|beta,1
Metals,t1_Mn_deplete|beta,t1_Fe_replete|beta,1
Metals,t1_Fe_replete|beta,t1_Fe_deplete|beta,0
Metals,t1_Fe_replete|beta,t1_Mn_deplete|beta,0
Nitrogen,t1_NH4_growth|beta,t2_N_stress|beta,0
Nitrogen,t1_NH4_growth|beta,t3_NH4_recovery|beta,0
Nitrogen,t1_NH4_growth|beta,t3_NO3_recovery|beta,0
Nitrogen,t2_N_stress|beta,t1_NH4_growth|beta,1
Nitrogen,t2_N_stress|beta,t3_NH4_recovery|beta,0
Nitrogen,t2_N_stress|beta,t3_NO3_recovery|beta,0
Nitrogen,t3_NH4_recovery|beta,t1_NH4_growth|beta,0
Nitrogen,t3_NH4_recovery|beta,t2_N_stress|beta,1
Nitrogen,t3_NH4_recovery|beta,t3_NO3_recovery|beta,1
Nitrogen,t3_NO3_recovery|beta,t1_NH4_growth|beta,1
Nitrogen,t3_NO3_recovery|beta,t2_N_stress|beta,1
Nitrogen,t3_NO3_recovery|beta,t3_NH4_recovery|beta,1
