filename,sample_label,experiment_label,condition,bio_rep,tech_rep
T1_NO3_2_2_R1.fastq.gz,T1_NO3_2_2,Nitrogen,NO3,2,2
T1_NO3_2_3_R1.fastq.gz,T1_NO3_2_3,Nitrogen,NO3,2,3
T1_NO3_2_4_R1.fastq.gz,T1_NO3_2_4,Nitrogen,NO3,2,4
T1_NO3_2_5_R1.fastq.gz,T1_NO3_2_5,Nitrogen,NO3,2,5
T1_NO3_2_6_R1.fastq.gz,T1_NO3_2_6,Nitrogen,NO3,2,6
T1_UREA_1_1_R1.fastq.gz,T1_UREA_1_1,Nitrogen,UREA,1,1
T1_UREA_1_2_R1.fastq.gz,T1_UREA_1_2,Nitrogen,UREA,1,2
T1_UREA_1_3_R1.fastq.gz,T1_UREA_1_3,Nitrogen,UREA,1,3
T1_UREA_1_4_R1.fastq.gz,T1_UREA_1_4,Nitrogen,UREA,1,4
T1_UREA_1_5_R1.fastq.gz,T1_UREA_1_5,Nitrogen,UREA,1,5
T1_UREA_1_6_R1.fastq.gz,T1_UREA_1_6,Nitrogen,UREA,1,6
T1_UREA_2_1_R1.fastq.gz,T1_UREA_2_1,Nitrogen,UREA,2,1
T1_UREA_2_2_R1.fastq.gz,T1_UREA_2_2,Nitrogen,UREA,2,2
T1_UREA_2_3_R1.fastq.gz,T1_UREA_2_3,Nitrogen,UREA,2,3
T1_UREA_2_4_R1.fastq.gz,T1_UREA_2_4,Nitrogen,UREA,2,4
T1_UREA_2_5_R1.fastq.gz,T1_UREA_2_5,Nitrogen,UREA,2,5
T1_UREA_2_6_R1.fastq.gz,T1_UREA_2_6,Nitrogen,UREA,2,6
T0_NH4NO3A1_R1.fastq.gz,T0_NH4NO3A1,PCR_Cycle_Compare,t0_24c,1,1
T0_NH4NO3A2_R1.fastq.gz,T0_NH4NO3A2,PCR_Cycle_Compare,t0_24c,1,2
T1_NO3_2_1_R1.fastq.gz,T1_NO3_2_1,PCR_Cycle_Compare,NO3_24c,1,1
T1_NO3_2_2_R1.fastq.gz,T1_NO3_2_2,PCR_Cycle_Compare,NO3_24c,1,2
T1_NFREE_2_1_R1.fastq.gz,T1_NFREE_2_1,PCR_Cycle_Compare,Nfree_24c,1,1
T1_NFREE_2_2_R1.fastq.gz,T1_NFREE_2_2,PCR_Cycle_Compare,Nfree_24c,1,2
