Gene	sgRNA	eff
Phatr3_J48919	Phatr3_J48919_626	1
Phatr3_J48919	Phatr3_J48919_337	1
Phatr3_J48919	Phatr3_J48919_436	1
Phatr3_J48919	Phatr3_J48919_87	1
Phatr3_J48919	Phatr3_J48919_175	1
Phatr3_J48919	Phatr3_J48919_519	1
Phatr3_J49683	Phatr3_J49683_124	1
Phatr3_J49683	Phatr3_J49683_75	1
Phatr3_J49683	Phatr3_J49683_61	1
Phatr3_J49683	Phatr3_J49683_147	1
Phatr3_J49683	Phatr3_J49683_474	1
Phatr3_J49683	Phatr3_J49683_384	1
Phatr3_J49683	Phatr3_J49683_438	1
Phatr3_J19211	Phatr3_J19211_734	1
Phatr3_J19211	Phatr3_J19211_1357	1
Phatr3_J19211	Phatr3_J19211_1519	1
Phatr3_J19211	Phatr3_J19211_577	1
Phatr3_J19211	Phatr3_J19211_73	1
Phatr3_J19211	Phatr3_J19211_381	1
Phatr3_J19211	Phatr3_J19211_787	1
Phatr3_J46122	Phatr3_J46122_653	1
Phatr3_J46122	Phatr3_J46122_304	1
Phatr3_J46122	Phatr3_J46122_93	1
Phatr3_J46122	Phatr3_J46122_274	1
Phatr3_J46122	Phatr3_J46122_100	1
Phatr3_J46122	Phatr3_J46122_61	1
Phatr3_J46122	Phatr3_J46122_458	1
Phatr3_EG02546	Phatr3_EG02546_63	1
Phatr3_EG02546	Phatr3_EG02546_326	1
Phatr3_EG02546	Phatr3_EG02546_181	1
Phatr3_EG02546	Phatr3_EG02546_286	1
Phatr3_EG02546	Phatr3_EG02546_140	1
Phatr3_EG02546	Phatr3_EG02546_91	1
Phatr3_EG02546	Phatr3_EG02546_417	1
Phatr3_J14599	Phatr3_J14599_89	1
Phatr3_J14599	Phatr3_J14599_565	1
Phatr3_J14599	Phatr3_J14599_464	1
Phatr3_J14599	Phatr3_J14599_307	1
Phatr3_J14599	Phatr3_J14599_370	1
Phatr3_J14599	Phatr3_J14599_967	1
Phatr3_J14599	Phatr3_J14599_538	1
Phatr3_J45784	Phatr3_J45784_399	1
Phatr3_J45784	Phatr3_J45784_107	1
Phatr3_J45784	Phatr3_J45784_449	1
