Gene_ID,Comparison,Delta_Beta,FDR,Significance_Tier
Phatr3_Jdraft1152,UREA_vs_NH4NO3,-1.0162004,0.0,Tier 2 (Lenient)
Phatr3_Jdraft1152,NH4_vs_NH4NO3,-0.9971902,0.0,Tier 3 (Effect Only)
Phatr3_Jdraft1152,NFREE_vs_NH4NO3,-0.97358534,0.0,Tier 3 (Effect Only)
Phatr3_Jdraft1152,NO3_vs_NH4NO3,-0.896804,0.0,Tier 3 (Effect Only)
Phatr3_J48438,UREA_vs_NH4NO3,-0.6659352000000002,0.0,Tier 3 (Effect Only)
Phatr3_J48438,NO3_vs_NH4NO3,-0.6451855600000002,0.0,Tier 3 (Effect Only)
Phatr3_J12243,NO3_vs_NH4NO3,-0.6435456,0.0,Tier 3 (Effect Only)
Phatr3_J12243,UREA_vs_NH4NO3,-0.6402488000000001,0.0,Tier 3 (Effect Only)
Phatr3_J48438,NFREE_vs_NH4NO3,-0.6394211600000002,0.0,Tier 3 (Effect Only)
Phatr3_J12243,NFREE_vs_NH4NO3,-0.6280924000000001,0.0,Tier 3 (Effect Only)
Phatr3_J1550,NH4_vs_NH4NO3,-0.61033,0.0,Tier 3 (Effect Only)
Phatr3_J1550,UREA_vs_NH4NO3,-0.5997212,0.0,Tier 3 (Effect Only)
Phatr3_J49184,NFREE_vs_NH4NO3,-0.59884228,0.0,Tier 3 (Effect Only)
Phatr3_J49184,UREA_vs_NH4NO3,-0.59463994,0.0,Tier 3 (Effect Only)
Phatr3_J48438,NH4_vs_NH4NO3,-0.5905142000000002,0.0,Tier 3 (Effect Only)
Phatr3_J38809,UREA_vs_NH4NO3,-0.5839135999999999,0.0,Tier 3 (Effect Only)
Phatr3_EG01898,NH4_vs_NH4NO3,-0.5838384,0.0,Tier 3 (Effect Only)
Phatr3_J1550,NFREE_vs_NH4NO3,-0.5782383999999999,0.0,Tier 3 (Effect Only)
Phatr3_EG00280,UREA_vs_NH4NO3,-0.576214,0.0,Tier 3 (Effect Only)
Phatr3_J49184,NH4_vs_NH4NO3,-0.57592796,0.0,Tier 3 (Effect Only)
Phatr3_J12243,NH4_vs_NH4NO3,-0.5671494,0.0,Tier 3 (Effect Only)
Phatr3_J49184,NO3_vs_NH4NO3,-0.5645058000000001,0.0,Tier 3 (Effect Only)
Phatr3_J1550,NO3_vs_NH4NO3,-0.563975,0.0,Tier 3 (Effect Only)
Phatr3_EG01898,UREA_vs_NH4NO3,-0.5591222,0.0,Tier 3 (Effect Only)
Phatr3_J38809,NFREE_vs_NH4NO3,-0.55508814,0.0,Tier 3 (Effect Only)
Phatr3_J37545,NO3_vs_NH4NO3,-0.5512768,0.0,Tier 3 (Effect Only)
Phatr3_EG01898,NFREE_vs_NH4NO3,-0.5484279999999999,0.0,Tier 3 (Effect Only)
Phatr3_J26649,NFREE_vs_NH4NO3,-0.5452234,0.0,Tier 3 (Effect Only)
Phatr3_J26649,NH4_vs_NH4NO3,-0.54262226,0.0,Tier 3 (Effect Only)
Phatr3_J38809,NH4_vs_NH4NO3,-0.54184344,0.0,Tier 3 (Effect Only)
Phatr3_J38809,NO3_vs_NH4NO3,-0.539071642,0.0,Tier 3 (Effect Only)
Phatr3_J26649,NO3_vs_NH4NO3,-0.52923636,0.0,Tier 3 (Effect Only)
Phatr3_J37545,UREA_vs_NH4NO3,-0.5199085600000001,0.0,Tier 3 (Effect Only)
Phatr3_J37545,NH4_vs_NH4NO3,-0.51884752,0.0,Tier 3 (Effect Only)
Phatr3_J31939,UREA_vs_NH4NO3,-0.5166098,0.0,Tier 3 (Effect Only)
Phatr3_J26649,UREA_vs_NH4NO3,-0.51318368,0.0,Tier 3 (Effect Only)
Phatr3_EG02362,NFREE_vs_NH4NO3,-0.5115308,0.0,Tier 3 (Effect Only)
Phatr3_EG02026,NO3_vs_NH4NO3,-0.5056075999999999,0.0,Tier 3 (Effect Only)
