Gene,sgRNA,t1_Fe_deplete|beta,t1_Fe_deplete|z,t1_Fe_deplete|p-value,t1_Fe_deplete|fdr,t1_Fe_deplete|wald-p-value,t1_Fe_deplete|wald-fdr,t1_Mn_deplete|beta,t1_Mn_deplete|z,t1_Mn_deplete|p-value,t1_Mn_deplete|fdr,t1_Mn_deplete|wald-p-value,t1_Mn_deplete|wald-fdr,t1_Fe_replete|beta,t1_Fe_replete|z,t1_Fe_replete|p-value,t1_Fe_replete|fdr,t1_Fe_replete|wald-p-value,t1_Fe_replete|wald-fdr,t1_Fe_deplete_vs_t1_Mn_deplete_delta_beta,t1_Fe_deplete_vs_t1_Mn_deplete_fdr,t1_Fe_deplete_vs_t1_Fe_replete_delta_beta,t1_Fe_deplete_vs_t1_Fe_replete_fdr,t1_Mn_deplete_vs_t1_Fe_deplete_delta_beta,t1_Mn_deplete_vs_t1_Fe_deplete_fdr,t1_Mn_deplete_vs_t1_Fe_replete_delta_beta,t1_Mn_deplete_vs_t1_Fe_replete_fdr,Significance_Tier,neg_log_fdr
Phatr3_EG00904,1,2.9215,0.25688,0.20587,0.84737,0.79727,0.87745,1.5947000000000002,0.17031,0.56401,0.92984,0.86477,0.9043,2.8693666666666666,0.25184,0.22847,0.85445,0.80117,0.9145,1.3267999999999998,0.0176235899357004,0.0521333333333333,0.9961989036985032,-1.3267999999999998,0.0176235899357004,-1.2746666666666664,0.6556016425246739,Tier 2 (Lenient),0.0016539405373016223
Phatr3_J49487,7,0.3058633333333333,0.39102,0.21463,0.84737,0.69578,0.81221,-1.0178633333333331,-0.86637,0.00063524,0.057576,0.38629,0.58685,0.5578433333333334,0.47694,0.32561,0.89277,0.6334,0.84378,1.3237266666666667,0.0180171965610476,-0.25198,0.9752075490781338,-1.3237266666666667,0.0180171965610476,-1.5757066666666666,0.3616117072689818,Tier 2 (Lenient),0.010902945504192855
Phatr3_EG01917,1,5.160233333333333,0.037715,0.01543,0.49683,0.96992,0.99019,3.8475,0.039805,0.030308,0.56196,0.96825,0.98446,0.57131,0.003399,0.85777,0.97901,0.99729,1.0,1.312733333333333,0.0196904770688245,4.588923333333334,0.0,-1.312733333333333,0.0196904770688245,3.27619,0.0015144269808083,Tier 2 (Lenient),12.0
Phatr3_EG01589,1,1.8356666666666663,0.7519,0.5262,0.91998,0.45211,0.72576,0.5692,0.30787,0.88375,0.99285,0.75818,0.81933,0.6467900000000001,0.21756,0.82747,0.97659,0.82777,0.92822,1.2664666666666666,0.028259920079687,1.1888766666666664,0.3842826234795768,-1.2664666666666666,0.028259920079687,-0.07759,0.991066353859099,Tier 2 (Lenient),0.41534925305091874
Phatr3_J49639,7,1.4950333333333334,1.4593,0.64263,0.94968,0.14449,0.72576,0.2463543333333333,0.4123,0.20251,0.8238,0.68012,0.75777,0.5970633333333333,0.45009,0.34726,0.89464,0.65265,0.84881,1.248679,0.0325312414343764,0.8979700000000002,0.7251118191861265,-1.248679,0.0325312414343764,-0.3507089999999999,0.9763818623819625,Tier 2 (Lenient),0.13959501589611034
Phatr3_EG00181,1,1.697633333333333,0.2144,0.56735,0.93077,0.83023,0.8992,0.4544766666666666,0.081382,0.91556,0.99622,0.93514,0.95706,2.490066666666667,0.30017,0.36389,0.89658,0.76405,0.89779,1.243156666666667,0.0338464545881211,-0.7924333333333335,0.821880246987078,-1.243156666666667,0.0338464545881211,-2.03559,0.1109237650761821,Tier 2 (Lenient),0.08519145723006298
Phatr3_EG00205,1,1.2738666666666667,0.29873,0.6933,0.95659,0.76515,0.85562,0.032067,0.051351,0.92947,0.99674,0.95905,0.97701,2.107266666666667,0.46377,0.48233,0.91899,0.64281,0.84539,1.2417996666666666,0.0340170840986806,-0.8334000000000001,0.7823328994321628,-1.2417996666666666,0.0340170840986806,-2.0751996666666668,0.0984552722675656,Tier 2 (Lenient),0.1066084059909063
Phatr3_J10539,7,0.4797033333333333,1.1032,0.28629,0.86523,0.26995,0.72576,-0.7479399999999999,-1.1129,0.0045303,0.26154,0.26573,0.58685,0.6772633333333333,1.2049,0.39748,0.89658,0.22826,0.79149,1.2276433333333332,0.0377060001567286,-0.19756,0.98329028260934,-1.2276433333333332,0.0377060001567286,-1.4252033333333332,0.5101719638648373,Tier 2 (Lenient),0.007318252742235885
Phatr3_EG01983,7,0.2896296666666667,0.54875,0.20941,0.84737,0.58318,0.75731,-0.9262966666666668,-1.1197,0.0012705,0.10483,0.26283,0.58685,0.7449833333333333,1.0691,0.44567,0.91164,0.28504,0.79149,1.2159263333333334,0.0410117116189388,-0.4553536666666666,0.9752075490781338,-1.2159263333333334,0.0410117116189388,-1.67128,0.2925168301868217,Tier 2 (Lenient),0.010902945504192855
Phatr3_J39714,7,0.84174,1.1035,0.54388,0.92447,0.26982,0.72576,-0.36663,-0.20583,0.028352,0.54686,0.83692,0.88212,0.0512266666666666,-0.23996,0.10089,0.70215,0.81036,0.91976,1.20837,0.0434576522585989,0.7905133333333334,0.8244111920531666,-1.20837,0.0434576522585989,-0.4178566666666666,0.9763818623819625,Tier 2 (Lenient),0.08385612095108295
Phatr3_EG00613,1,1.664,0.45161,0.57971,0.93308,0.65155,0.78896,0.4586466666666666,0.17632,0.91536,0.99622,0.86004,0.90101,1.5897666666666666,0.41304,0.60318,0.93991,0.67958,0.86049,1.2053533333333333,0.0442370806019091,0.0742333333333333,0.9940094336855764,-1.2053533333333333,0.0442370806019091,-1.13112,0.7904723774561311,Tier 2 (Lenient),0.0026094938938509846
Phatr3_EG00506,1,0.5855400000000001,0.97302,0.87088,0.98351,0.33055,0.72576,-0.61706,-0.6152,0.48745,0.90554,0.53843,0.64559,-0.1011969999999999,-0.60956,0.59622,0.93854,0.54216,0.8158,1.2026,0.0450250522709484,0.686737,0.9134997387798426,-1.2026,0.0450250522709484,-0.5158630000000001,0.9763818623819625,Tier 2 (Lenient),0.03929157249979027
Phatr3_J39885,7,1.141133333333333,1.1022,0.8899,0.98664,0.27039,0.72576,-0.05302,0.14334,0.084888,0.71569,0.88602,0.92021,1.151333333333333,1.0389,0.86205,0.97901,0.29887,0.79149,1.1941533333333334,0.0480624858897103,-0.0101999999999999,1.0,-1.1941533333333334,0.0480624858897103,-1.2043533333333334,0.7227043338367504,Tier 2 (Lenient),-4.343330909353833e-13
Phatr3_J54547,7,0.91263,1.4003,0.62088,0.94502,0.16142,0.72576,-0.2801926666666667,-0.09892,0.038164,0.58191,0.9212,0.94644,0.37409,0.28608,0.23026,0.85657,0.77482,0.90241,1.1928226666666668,0.0485019818499162,0.53854,0.9752075490781338,-1.1928226666666668,0.0485019818499162,-0.6542826666666667,0.9763818623819625,Tier 2 (Lenient),0.010902945504192855
Phatr3_J14618,7,0.9644,1.497,0.67462,0.95449,0.13438,0.72576,-0.2264608333333333,-0.010981,0.045687,0.59959,0.99124,1.0,0.6396033333333334,0.79004,0.37489,0.89658,0.4295,0.79428,1.1908608333333333,0.0487268213345259,0.3247966666666665,0.9752075490781338,-1.1908608333333333,0.0487268213345259,-0.8660641666666667,0.9558893907759158,Tier 2 (Lenient),0.010902945504192855
