Gene_ID,Comparison,Delta_Beta,FDR,Significance_Tier
Phatr3_J43638,t1_Fe_deplete_vs_t1_Mn_deplete,-2.561685333333333,8.79399416778678e-09,Tier 1 (Hard)
Phatr3_J52551,t1_Fe_deplete_vs_t1_Mn_deplete,-2.5610676666666663,8.79399416778678e-09,Tier 1 (Hard)
Phatr3_Jdraft251,t1_Fe_deplete_vs_t1_Mn_deplete,-2.5431600000000003,1.1750016732202482e-08,Tier 1 (Hard)
Phatr3_J43220,t1_Fe_deplete_vs_t1_Mn_deplete,-2.5358066666666668,1.3051597439170141e-08,Tier 1 (Hard)
Phatr3_J49447,t1_Fe_deplete_vs_t1_Mn_deplete,-2.5338566666666664,1.3201566023073811e-08,Tier 1 (Hard)
Phatr3_EG00286,t1_Fe_deplete_vs_t1_Mn_deplete,-2.5319406666666664,1.3351586232747946e-08,Tier 1 (Hard)
Phatr3_EG01596,t1_Fe_deplete_vs_t1_Mn_deplete,-2.52106,1.5778855309815273e-08,Tier 1 (Hard)
Phatr3_J44595,t1_Fe_deplete_vs_t1_Mn_deplete,-2.482473333333333,2.9963289053617594e-08,Tier 1 (Hard)
Phatr3_J46199,t1_Fe_deplete_vs_t1_Mn_deplete,-2.4739633333333333,3.392374539102701e-08,Tier 1 (Hard)
Phatr3_J29456,t1_Mn_deplete_vs_t1_Fe_deplete,-2.4568046666666667,4.4449351221942384e-08,Tier 1 (Hard)
Phatr3_J50695,t1_Fe_deplete_vs_t1_Mn_deplete,-2.4513140000000004,4.7802471366885454e-08,Tier 1 (Hard)
Phatr3_J51720,t1_Fe_deplete_vs_t1_Mn_deplete,-2.44141,5.537142276314565e-08,Tier 1 (Hard)
Phatr3_Jdraft278,t1_Fe_deplete_vs_t1_Mn_deplete,-2.437578666666667,5.7928825091111327e-08,Tier 1 (Hard)
Phatr3_Jdraft1302,t1_Fe_deplete_vs_t1_Mn_deplete,-2.416020666666667,8.144817947658216e-08,Tier 1 (Hard)
Phatr3_EG01223,t1_Fe_deplete_vs_t1_Mn_deplete,-2.405168,9.571882376814177e-08,Tier 1 (Hard)
Phatr3_EG01551,t1_Fe_deplete_vs_t1_Fe_replete,-2.397933333333333,0.0015251568503477,Tier 1 (Hard)
Phatr3_J35509,t1_Fe_deplete_vs_t1_Mn_deplete,-2.39072,1.1929012845777826e-07,Tier 1 (Hard)
