Gene,sgRNA,t1_Fe_deplete|beta,t1_Fe_deplete|z,t1_Fe_deplete|p-value,t1_Fe_deplete|fdr,t1_Fe_deplete|wald-p-value,t1_Fe_deplete|wald-fdr,t1_Mn_deplete|beta,t1_Mn_deplete|z,t1_Mn_deplete|p-value,t1_Mn_deplete|fdr,t1_Mn_deplete|wald-p-value,t1_Mn_deplete|wald-fdr,t1_Fe_replete|beta,t1_Fe_replete|z,t1_Fe_replete|p-value,t1_Fe_replete|fdr,t1_Fe_replete|wald-p-value,t1_Fe_replete|wald-fdr,t1_Fe_deplete_vs_t1_Mn_deplete_delta_beta,t1_Fe_deplete_vs_t1_Mn_deplete_fdr,t1_Fe_deplete_vs_t1_Fe_replete_delta_beta,t1_Fe_deplete_vs_t1_Fe_replete_fdr,t1_Mn_deplete_vs_t1_Fe_deplete_delta_beta,t1_Mn_deplete_vs_t1_Fe_deplete_fdr,t1_Mn_deplete_vs_t1_Fe_replete_delta_beta,t1_Mn_deplete_vs_t1_Fe_replete_fdr,Significance_Tier,neg_log_fdr
Phatr3_J6282,2,-0.41597,-0.15191,0.32793,0.86993,0.87926,0.93191,1.226,0.55327,0.83409,0.98694,0.58008,0.67677,1.6562333333333334,0.60066,0.668,0.95302,0.54806,0.81693,-1.64197,0.0010328423827582,-2.0722033333333334,0.0096602377624454,1.64197,0.0010328423827582,-0.4302333333333334,0.9763818623819625,Tier 1 (Hard),2.985965948651563
Phatr3_J42322,1,-1.3476966666666668,-1.2336,0.032146,0.58752,0.21734,0.72576,0.3936166666666666,0.55694,0.93327,0.99674,0.57757,0.67522,0.6995333333333335,0.56176,0.81212,0.97415,0.57428,0.82445,-1.7413133333333335,0.0003808110480378,-2.0472300000000003,0.0109086291000813,1.7413133333333335,0.0003808110480378,-0.3059166666666668,0.9763818623819625,Tier 2 (Lenient),3.419290459272509
Phatr3_EG00900,1,1.3199666666666667,0.12194,0.68066,0.95546,0.90294,0.9472,0.7397166666666667,0.084324,0.8328,0.98659,0.9328,0.95523,3.3559666666666668,0.28369,0.14901,0.76287,0.77665,0.90362,0.58025,0.8252773667422046,-2.036,0.0117772501987654,-0.58025,0.8252773667422046,-2.61625,0.0180993349560459,Tier 2 (Lenient),0.08340006526666233
Phatr3_J9011,7,-0.3706233333333333,-0.28889,0.028703,0.58063,0.77266,0.86092,0.91458,1.0272,0.68373,0.95574,0.30432,0.58685,1.5518333333333334,1.4216,0.62212,0.94345,0.15514,0.79149,-1.2852033333333333,0.0246014354413118,-1.9224566666666667,0.0207551074845486,1.2852033333333333,0.0246014354413118,-0.6372533333333334,0.9763818623819625,Tier 2 (Lenient),1.609039551982492
Phatr3_J47999,7,-0.6539666666666667,-0.33233,0.010064,0.42199,0.73964,0.83957,1.4932666666666667,1.033,0.56474,0.92995,0.30161,0.58685,1.2305666666666666,0.6604,0.96541,0.99614,0.509,0.80863,-2.1472333333333333,3.2369364515521546e-06,-1.8845333333333327,0.025617006492544,2.1472333333333333,3.2369364515521546e-06,0.2627000000000001,0.9786310631222404,Tier 2 (Lenient),5.48986569253694
Phatr3_J40611,1,0.4592566666666666,0.10661,0.90607,0.99068,0.9151,0.95476,1.1736333333333333,0.29401,0.71301,0.96102,0.76875,0.82762,2.3340333333333336,0.46579,0.41493,0.89919,0.64137,0.84495,-0.7143766666666667,0.5794956944555847,-1.874776666666667,0.0267941140080784,0.7143766666666667,0.5794956944555847,-1.1604000000000003,0.7600540059427383,Tier 2 (Lenient),0.23694978641426487
Phatr3_EG01946,2,0.3946233333333333,0.13289,0.72461,0.96343,0.89428,0.94239,0.8382366666666666,0.30836,0.91461,0.99585,0.75781,0.81901,2.2518666666666665,0.64623,0.3262,0.89277,0.51813,0.81024,-0.4436133333333333,0.9795438920338578,-1.8572433333333327,0.0288329478868891,0.4436133333333333,0.9795438920338578,-1.41363,0.5199750795447647,Tier 2 (Lenient),0.008976099085825603
Phatr3_EG00100,2,0.4551466666666666,0.14574,0.74562,0.96936,0.88413,0.93533,-0.6854266666666667,-0.14651,0.19911,0.82032,0.88351,0.91828,2.309633333333333,0.65138,0.29836,0.89109,0.5148,0.80992,1.1405733333333334,0.069310141814042,-1.8544866666666664,0.028889619705731,-1.1405733333333334,0.069310141814042,-2.99506,0.0056951149186202,Tier 2 (Lenient),1.1592032125448095
Phatr3_EG02163,3,-1.0372233333333334,-1.3744,0.0099131,0.42199,0.16931,0.72576,0.4429133333333333,0.92787,0.55787,0.92842,0.35348,0.58685,0.7980700000000001,1.0351,0.71775,0.96365,0.30062,0.79149,-1.4801366666666669,0.0048488591223369,-1.8352933333333332,0.032349547566584,1.4801366666666669,0.0048488591223369,-0.3551566666666667,0.9763818623819625,Tier 2 (Lenient),2.3143604335058785
Phatr3_EG02242,7,-0.0880329999999999,-0.018808,0.064226,0.6405,0.98499,1.0,-0.7231299999999999,-0.36336,0.0052992,0.28818,0.71633,0.78684,1.7186666666666666,1.1993,0.43499,0.90736,0.23042,0.79149,0.6350969999999999,0.7367444099692675,-1.8066996666666664,0.0366558273191618,-0.6350969999999999,0.7367444099692675,-2.4417966666666664,0.0355935919798195,Tier 2 (Lenient),0.1326831506640252
Phatr3_J43217,7,-0.7231299999999999,-0.71706,0.0075059,0.38707,0.47334,0.72576,-0.6310966666666666,-0.43409,0.01008,0.40726,0.66422,0.74436,1.0780633333333334,1.0911,0.7713,0.96722,0.27525,0.79149,-0.0920333333333333,0.9845906083457306,-1.8011933333333334,0.0376293931386505,0.0920333333333333,0.9845906083457306,-1.70916,0.2660829955721229,Tier 2 (Lenient),0.006744311121300537
Phatr3_J12217,7,-0.6922833333333335,-0.8532,0.008442,0.404,0.39355,0.72576,-0.2631686666666666,-0.071283,0.040722,0.59342,0.94317,0.96388,1.1035966666666666,1.7761,0.80237,0.97239,0.075715,0.79149,-0.4291146666666668,0.9795438920338578,-1.79588,0.0386859095712447,0.4291146666666668,0.9795438920338578,-1.3667653333333332,0.5631469217533349,Tier 2 (Lenient),0.008976099085825603
Phatr3_EG00148,7,-0.9473633333333332,-1.5336,0.0027917,0.22416,0.12512,0.72576,0.4984533333333332,1.2871,0.32569,0.86808,0.19807,0.58685,0.83675,1.4134,0.52238,0.92756,0.15753,0.79149,-1.4458166666666663,0.0064915590489166,-1.7841133333333332,0.0410443547205732,1.4458166666666663,0.0064915590489166,-0.3382966666666667,0.9763818623819625,Tier 2 (Lenient),2.1876509880281723
Phatr3_J34798,2,0.6216,0.18745,0.80401,0.97538,0.85131,0.91294,1.5550333333333333,0.54719,0.58372,0.93257,0.58425,0.68009,2.402066666666667,0.68031,0.25236,0.86935,0.49631,0.80607,-0.9334333333333332,0.2315832493320535,-1.7804666666666669,0.041448522062437,0.9334333333333332,0.2315832493320535,-0.8470333333333335,0.9598022057934672,Tier 2 (Lenient),0.6352928567982759
Phatr3_J48391,7,-0.96164,-0.77337,0.0026914,0.21757,0.4393,0.72576,0.4150466666666667,0.53989,0.28191,0.85582,0.58927,0.68431,0.8147433333333334,0.64631,0.50421,0.92517,0.51808,0.81024,-1.3766866666666668,0.0119046382573434,-1.7763833333333334,0.042125524848923,1.3766866666666668,0.0119046382573434,-0.3996966666666666,0.9763818623819625,Tier 2 (Lenient),1.9242837967977167
Phatr3_EG01518,7,-0.0133856666666666,0.048829,0.08101,0.66671,0.96106,0.98535,-0.49565,-0.30169,0.017469,0.47682,0.76289,0.82316,1.7375333333333334,1.8292,0.41884,0.90059,0.067376,0.79149,0.4822643333333333,0.9638559686359474,-1.750919,0.0473737936048607,-0.4822643333333333,0.9638559686359474,-2.2331833333333333,0.0631912911573009,Tier 2 (Lenient),0.015987858939091836
