Gene,sgRNA,t1_NH4_growth|beta,t1_NH4_growth|z,t1_NH4_growth|p-value,t1_NH4_growth|fdr,t1_NH4_growth|wald-p-value,t1_NH4_growth|wald-fdr,t2_N_stress|beta,t2_N_stress|z,t2_N_stress|p-value,t2_N_stress|fdr,t2_N_stress|wald-p-value,t2_N_stress|wald-fdr,t3_NH4_recovery|beta,t3_NH4_recovery|z,t3_NH4_recovery|p-value,t3_NH4_recovery|fdr,t3_NH4_recovery|wald-p-value,t3_NH4_recovery|wald-fdr,t3_NO3_recovery|beta,t3_NO3_recovery|z,t3_NO3_recovery|p-value,t3_NO3_recovery|fdr,t3_NO3_recovery|wald-p-value,t3_NO3_recovery|wald-fdr,t2_N_stress_vs_t1_NH4_growth_delta_beta,t2_N_stress_vs_t1_NH4_growth_fdr,t3_NH4_recovery_vs_t2_N_stress_delta_beta,t3_NH4_recovery_vs_t2_N_stress_fdr,t3_NH4_recovery_vs_t3_NO3_recovery_delta_beta,t3_NH4_recovery_vs_t3_NO3_recovery_fdr,t3_NO3_recovery_vs_t1_NH4_growth_delta_beta,t3_NO3_recovery_vs_t1_NH4_growth_fdr,t3_NO3_recovery_vs_t2_N_stress_delta_beta,t3_NO3_recovery_vs_t2_N_stress_fdr,t3_NO3_recovery_vs_t3_NH4_recovery_delta_beta,t3_NO3_recovery_vs_t3_NH4_recovery_fdr,Significance_Tier,neg_log_fdr
Phatr3_J12888,1,0.17289604175,-6.8439e-05,0.82407,0.98317,0.99995,1,0.739375,0.98004,0.19651,0.78629,0.32706,1,-1.5977725,-4.1891,0.0064694,0.28145,2.8001e-05,0.0041875,-1.5977725,-5.034,0.0055333,0.23546,4.8036e-07,0.00011269,0.56647895825,0.6150814019225143,-2.3371475,0.0,0.0,1.0,-1.77066854175,1.0073109235619881e-07,-2.3371475,0.0,0.0,1.0,Tier 1 (Hard),0.21106740444122118
Phatr3_J11472,1,0.5324800000000001,0.24673,0.57768,0.93405,0.80512,1,0.43594625,0.51458,0.5516,0.92856,0.60685,1,-1.428325,-4.531,0.010916,0.33048,5.8709e-06,0.0016335,-1.0677925,-4.099,0.048579,0.52104,4.1489e-05,0.0031416,-0.09653375,0.998475084011586,-1.86427125,0.0,-0.3605325000000001,0.0003223873044334,-1.6002725,4.919162639005492e-06,-1.50373875,9.758305052898208e-09,0.3605325000000001,0.0003223873044334,Tier 1 (Hard),0.0006627680600349934
Phatr3_EG01577,1,-0.16420475,-0.16548,0.42954,0.9071,0.86857,1,0.195173725,0.13113,0.91958,0.99233,0.89567,1,-1.0978975,-3.7704,0.057088,0.56535,0.000163,0.014029,-0.161487,-0.50225,0.83383,0.96979,0.61549,0.72645,0.359378475,0.91402920388922,-1.293071225,3.253208493851171e-06,-0.9364105,0.0,0.00271775,0.9995245777391908,-0.356660725,0.872662811233216,0.9364105,0.0,Tier 2 (Lenient),0.039039928023549754
Phatr3_EG00937,1,-1.145615,-0.51124,0.041859,0.62401,0.60918,1,0.527805,0.70885,0.43146,0.89154,0.47842,1,-0.7572525,-2.4227,0.20774,0.74082,0.015406,0.16257,-0.4770175,-1.794,0.42374,0.8565,0.072808,0.16639,1.67342,1.7439110703657928e-07,-1.2850575,3.5091347170279623e-06,-0.280235,0.0214468489252955,0.6685975000000001,0.5033311911414574,-1.0048225,0.0012943766540214,0.280235,0.0214468489252955,Tier 2 (Lenient),6.758473175068766
Phatr3_EG01547,1,-0.615685,-0.41415,0.14351,0.75918,0.67876,1,0.2219162499999999,0.20094,0.88039,0.98548,0.84075,1,-0.9922225,-4.1064,0.074256,0.59387,4.0186e-05,0.0055905,-0.4214025,-1.9516,0.48246,0.87216,0.050988,0.1369,0.8376012500000001,0.1418734735143486,-1.21413875,1.967257253711176e-05,-0.57082,1.9987567156931615e-11,0.1942825,0.9897947920591554,-0.6433187499999999,0.2187698030861593,0.57082,1.9987567156931615e-11,Tier 2 (Lenient),0.8480987982199987
Phatr3_J46977,1,0.308045,0.069659,0.9735,0.996,0.94447,1,0.23491825,0.16052,0.86098,0.98258,0.87247,1,-0.97144,-2.8632,0.081227,0.60832,0.0041936,0.10239,-0.0703215,-0.094034,0.97342,0.99619,0.92508,0.95584,-0.07312675,0.998475084011586,-1.20635825,2.18476758656827e-05,-0.9011185,0.0,-0.3783665,0.9344879898115622,-0.30523975,0.936952356060596,0.9011185,0.0,Tier 2 (Lenient),0.0006627680600349934
Phatr3_Jdraft590,1,0.24756225,0.030774,0.93104,0.99412,0.97545,1,0.05619025,-0.050253,0.87434,0.98545,0.95992,1,-1.0847475,-2.7865,0.057088,0.56535,0.005328,0.11424,-0.9922225,-3.0643,0.06762,0.55884,0.002182,0.048713,-0.191372,0.998475084011586,-1.14093775,0.0001013886608296,-0.0925249999999999,0.9590759261924724,-1.23978475,0.0028617763483127,-1.04841275,0.0006621792662372,0.0925249999999999,0.9590759261924724,Tier 2 (Lenient),0.0006627680600349934
Phatr3_EG02039,1,0.13782025,-0.018261,0.7772,0.97376,0.98543,1,-0.13349875,-0.28325,0.63089,0.94436,0.77698,1,-1.242955,-4.1007,0.024306,0.42145,4.1194e-05,0.0056005,-0.6995875,-2.7955,0.19754,0.72913,0.0051821,0.065904,-0.271319,0.9869707628567934,-1.10945625,0.0001922974868472,-0.5433675,2.8114864684713367e-10,-0.83740775,0.1831789713438992,-0.56608875,0.410604891352981,0.5433675,2.8114864684713367e-10,Tier 2 (Lenient),0.005695712292465843
Phatr3_EG00904,1,0.24469875,0.063547,0.9271,0.99398,0.94933,1,0.7328475,1.9162,0.20428,0.78915,0.055342,1,-0.3646875,-2.0811,0.54522,0.90034,0.037425,0.18451,-0.2350249999999999,-1.3293,0.72461,0.9461,0.18374,0.30638,0.48814875,0.7650262001463545,-1.097535,0.0002411380926536,-0.1296625,0.8315170896500039,-0.47972375,0.8154586798465528,-0.9678725,0.0027346523203124,0.1296625,0.8315170896500039,Tier 2 (Lenient),0.11632369114105486
