Gene,sgRNA,t1_NH4_growth|beta,t1_NH4_growth|z,t1_NH4_growth|p-value,t1_NH4_growth|fdr,t1_NH4_growth|wald-p-value,t1_NH4_growth|wald-fdr,t2_N_stress|beta,t2_N_stress|z,t2_N_stress|p-value,t2_N_stress|fdr,t2_N_stress|wald-p-value,t2_N_stress|wald-fdr,t3_NH4_recovery|beta,t3_NH4_recovery|z,t3_NH4_recovery|p-value,t3_NH4_recovery|fdr,t3_NH4_recovery|wald-p-value,t3_NH4_recovery|wald-fdr,t3_NO3_recovery|beta,t3_NO3_recovery|z,t3_NO3_recovery|p-value,t3_NO3_recovery|fdr,t3_NO3_recovery|wald-p-value,t3_NO3_recovery|wald-fdr,t2_N_stress_vs_t1_NH4_growth_delta_beta,t2_N_stress_vs_t1_NH4_growth_fdr,t3_NH4_recovery_vs_t2_N_stress_delta_beta,t3_NH4_recovery_vs_t2_N_stress_fdr,t3_NH4_recovery_vs_t3_NO3_recovery_delta_beta,t3_NH4_recovery_vs_t3_NO3_recovery_fdr,t3_NO3_recovery_vs_t1_NH4_growth_delta_beta,t3_NO3_recovery_vs_t1_NH4_growth_fdr,t3_NO3_recovery_vs_t2_N_stress_delta_beta,t3_NO3_recovery_vs_t2_N_stress_fdr,t3_NO3_recovery_vs_t3_NH4_recovery_delta_beta,t3_NO3_recovery_vs_t3_NH4_recovery_fdr,Significance_Tier,neg_log_fdr
Phatr3_Jdraft1757,1,0.6835825,0.37919,0.29468,0.8698,0.70455,1,0.57272,0.63724,0.38178,0.8675,0.52397,1,-0.1740665,-0.45036,0.80505,0.96894,0.65245,0.77563,-0.5096975,-1.5926,0.38704,0.84384,0.11126,0.21848,-0.1108624999999999,0.998475084011586,-0.7467865,0.0791729461010698,0.335631,0.0013986627237945,-1.19328,0.0051053629414931,-1.0824175,0.0003640788167432,-0.335631,0.0013986627237945,Tier 2 (Lenient),2.854286999175079
Phatr3_J38100,1,0.30978675,0.066922,0.97101,0.996,0.94664,1,-0.49302,-0.5489,0.30717,0.84463,0.58307,1,-0.3263525,-0.92822,0.58927,0.91363,0.35329,0.52144,-0.8526125000000001,-2.8448,0.11525,0.6354,0.0044436,0.062512,-0.80280675,0.1727408463363976,0.1666675,0.9971994410052348,0.5262600000000002,1.1952089265388991e-09,-1.16239925,0.0074230925019593,-0.3595925000000001,0.8725951512990854,-0.5262600000000002,1.1952089265388991e-09,Tier 2 (Lenient),8.922192961051046
Phatr3_EG02493,1,0.26267375,0.047804,0.9515,0.996,0.96187,1,-0.5412125,-0.69166,0.27116,0.82246,0.48915,1,-0.8139775,-2.5724,0.1624,0.69662,0.010099,0.14604,-0.8647575000000001,-3.3471,0.11294,0.63376,0.0008165,0.026911,-0.80388625,0.1727408463363976,-0.272765,0.946107921774123,0.05078,0.994967307567788,-1.12743125,0.0121969229563805,-0.3235450000000001,0.9155631216791952,-0.05078,0.994967307567788,Tier 2 (Lenient),0.0021911889786289896
Phatr3_EG00099,1,0.0860085,-0.040768,0.71515,0.96247,0.96748,1,-0.16960275,-0.30065,0.59104,0.93536,0.76368,1,-0.3743075,-1.1643,0.53549,0.89789,0.2443,0.40809,-1.0370175,-3.7553,0.059094,0.53703,0.00017316,0.0091264,-0.25561125,0.9929693075534584,-0.20470475,0.9926982009986168,0.6627099999999999,0.0,-1.123026,0.012556801449086,-0.8674147499999999,0.0140401302964315,-0.6627099999999999,0.0,Tier 2 (Lenient),12.0
Phatr3_EG01436,1,-0.0801665,-0.13253,0.51546,0.91589,0.89456,1,-0.047502925,-0.21319,0.73531,0.95763,0.83118,1,-0.192917,-0.67916,0.7768,0.95962,0.49704,0.65104,-1.20046,-5.1635,0.028753,0.43847,2.424e-07,6.6035e-05,0.032663575,0.998475084011586,-0.145414075,0.9971994410052348,1.007543,0.0,-1.1202935,0.012556801449086,-1.152957075,9.809270146595011e-05,-1.007543,0.0,Tier 2 (Lenient),12.0
Phatr3_EG01187,2,0.43321975,0.22176,0.58063,0.93405,0.8245,1,-0.400275,-0.72855,0.19408,0.78433,0.46627,1,-1.005545,-4.3498,0.0082581,0.31167,1.3624e-05,0.002745,-0.6714325,-3.4854,0.057422,0.53339,0.00049141,0.019663,-0.8334947500000001,0.1453561155424596,-0.6052700000000002,0.2952387909863995,-0.3341125000000001,0.0014654111110214,-1.10465225,0.0151014469978842,-0.2711575,0.9752041486151072,0.3341125000000001,0.0014654111110214,Tier 2 (Lenient),2.834040519586095
Phatr3_J37845,1,0.32078775,0.078067,0.95336,0.996,0.93777,1,-0.6995875,-0.8311,0.16045,0.76193,0.40592,1,-0.30549,-0.93041,0.62063,0.92068,0.35216,0.52015,-0.775025,-2.9089,0.14122,0.67371,0.0036275,0.058214,-1.02037525,0.0199900660605528,0.3940975,0.7952039525873474,0.469535,1.419531177345353e-07,-1.09581275,0.0168048650923283,-0.0754374999999999,0.9989761735295324,-0.469535,1.419531177345353e-07,Tier 2 (Lenient),6.847852005156798
Phatr3_EG00105,1,0.5638725,0.26573,0.52086,0.91619,0.79045,1,-0.6856424999999999,-0.82441,0.16742,0.77092,0.40971,1,-0.4812524999999999,-1.5215,0.40363,0.85864,0.12812,0.28269,-0.4950475,-1.7259,0.40135,0.84786,0.084365,0.18252,-1.249515,0.0005933851255429,0.2043899999999999,0.9926982009986168,0.013795,0.994967307567788,-1.05892,0.0264361997055388,0.1905949999999999,0.989552171595546,-0.013795,0.994967307567788,Tier 2 (Lenient),0.0021911889786289896
Phatr3_J47574,1,1.425625,0.15965,0.021832,0.51519,0.87315,1,1.1072875,0.16291,0.040756,0.6484,0.87059,1,0.2716787499999999,0.090413,0.50796,0.89408,0.92796,0.96506,0.36980525,0.13402,0.37471,0.83983,0.89338,0.93501,-0.3183374999999999,0.9553717039589305,-0.83560875,0.0255494403669989,-0.0981265,0.9449035561642344,-1.05581975,0.0269081863480117,-0.73748225,0.0785377376349386,0.0981265,0.9449035561642344,Tier 2 (Lenient),0.02461251653065989
Phatr3_EG00331,1,0.937505,0.28446,0.089468,0.69869,0.77606,1,0.937505,0.52193,0.067034,0.67559,0.60172,1,0.00369725,0.028433,0.91224,0.98766,0.97732,0.99561,-0.11165825,-0.084887,0.90776,0.98803,0.93235,0.96078,0.0,1.0,-0.93380775,0.0057978212035997,0.1153555,0.9067715008722148,-1.04916325,0.0289685309621017,-1.04916325,0.0006621792662372,-0.1153555,0.9067715008722148,Tier 2 (Lenient),0.04250213787061927
Phatr3_EG01836,1,0.5600175000000001,0.32309,0.53029,0.92159,0.74663,1,-0.7713525000000001,-1.1605,0.12284,0.7362,0.24585,1,-0.6026525,-2.294,0.30184,0.81122,0.021792,0.17183,-0.47597,-2.0329,0.42441,0.85665,0.042063,0.12414,-1.3313700000000002,0.0001355450785302,0.1687,0.9971994410052348,-0.1266825,0.8488971337835652,-1.0359875,0.0344880322486989,0.2953825000000001,0.9479517936894604,0.1266825,0.8488971337835652,Tier 2 (Lenient),0.07114493276706882
Phatr3_EG01258,2,0.606265,0.43497,0.23101,0.82798,0.66358,1,0.3455432499999999,0.43513,0.64077,0.94713,0.66347,1,-0.212755,-0.76212,0.4727,0.88228,0.44599,0.60669,-0.42098,-1.7366,0.21483,0.75036,0.082461,0.18003,-0.2607217500000001,0.9898614090660948,-0.55829825,0.4228690271071954,0.208225,0.2457142160714103,-1.0272450000000002,0.038325778900347,-0.76652325,0.0548371804745201,-0.208225,0.2457142160714103,Tier 2 (Lenient),0.6095697161971761
Phatr3_J46030,1,0.3795644999999999,0.13902,0.86212,0.98951,0.88944,1,-0.0008695,-0.15363,0.7956,0.96953,0.8779,1,-0.5055675,-1.9364,0.38455,0.85217,0.052816,0.1999,-0.6299075,-2.7776,0.26601,0.77929,0.0054765,0.066383,-0.380434,0.8936241809736858,-0.504698,0.5606535811980904,0.12434,0.8520914932547633,-1.009472,0.0465184398845741,-0.629038,0.2492242091361563,-0.12434,0.8520914932547633,Tier 2 (Lenient),0.06951377039437863
Phatr3_EG01252,1,0.40281475,0.15961,0.82467,0.98353,0.87319,1,-0.2253325,-0.43953,0.52802,0.92181,0.66028,1,-0.623545,-2.4016,0.28108,0.80105,0.016323,0.16415,-0.604625,-2.7175,0.28967,0.79081,0.0065773,0.06774,-0.62814725,0.4813419449118825,-0.3982124999999999,0.7912614646845725,-0.01892,0.994967307567788,-1.00743975,0.0465184398845741,-0.3792924999999999,0.8368706598029763,0.01892,0.994967307567788,Tier 2 (Lenient),0.0021911889786289896
