Gene	sgRNA	t1_NH4_growth|beta	t1_NH4_growth|z	t1_NH4_growth|p-value	t1_NH4_growth|fdr	t1_NH4_growth|wald-p-value	t1_NH4_growth|wald-fdr	t2_N_stress|beta	t2_N_stress|z	t2_N_stress|p-value	t2_N_stress|fdr	t2_N_stress|wald-p-value	t2_N_stress|wald-fdr	t3_NH4_recovery|beta	t3_NH4_recovery|z	t3_NH4_recovery|p-value	t3_NH4_recovery|fdr	t3_NH4_recovery|wald-p-value	t3_NH4_recovery|wald-fdr	t3_NO3_recovery|beta	t3_NO3_recovery|z	t3_NO3_recovery|p-value	t3_NO3_recovery|fdr	t3_NO3_recovery|wald-p-value	t3_NO3_recovery|wald-fdr
Phatr3_Jdraft1580	7	-0.0011882	-0.0059524	0.87743	0.98951	0.99525	1	-0.078315	-0.49021	0.29433	0.83637	0.62399	1	-0.19426	-1.1616	0.15336	0.68719	0.24541	0.40916	-0.0065135	-0.039272	0.34109	0.81913	0.96867	0.98766
Phatr3_J45919	7	-0.070519	-0.34633	0.19599	0.80346	0.7291	1	0.084914	0.52642	0.78586	0.96619	0.5986	1	0.28491	1.7214	0.87523	0.97968	0.085173	0.2346	0.36961	2.2426	0.79993	0.96318	0.024922	0.099321
Phatr3_EG01967	7	0.0063312	0.021949	0.97307	0.996	0.98249	1	0.054257	0.23433	0.97349	0.9981	0.81473	1	0.4459	1.8774	0.45251	0.87295	0.060462	0.20563	0.57281	2.4216	0.3278	0.8128	0.015451	0.083796
Phatr3_EG02559	7	-0.10506	-0.55474	0.060582	0.65067	0.57907	1	-0.057359	-0.38114	0.38303	0.8689	0.7031	1	-0.4921	-3.1626	0.020578	0.40997	0.0015639	0.061454	-0.75556	-4.88	0.0035774	0.19543	1.0608e-06	0.00021821
Phatr3_J50561	7	-0.06038	-0.33032	0.26229	0.85018	0.74116	1	-0.042075	-0.28852	0.45627	0.90118	0.77295	1	0.13783	0.91264	0.7219	0.94564	0.36143	0.52947	0.22887	1.5228	0.82894	0.96861	0.12781	0.23952
Phatr3_J9832	7	-0.00071272	-0.0051658	0.88348	0.98951	0.99588	1	0.012517	0.11556	0.76254	0.96377	0.908	1	-0.174	-1.5646	0.17232	0.70772	0.11768	0.27161	-0.08971	-0.81071	0.23318	0.76008	0.41753	0.54865
Phatr3_J7969	7	-0.038291	-0.19723	0.45087	0.9071	0.84365	1	-0.18401	-1.1737	0.050819	0.65573	0.24052	1	-0.29762	-1.8202	0.081712	0.60832	0.068735	0.21453	-0.23656	-1.4556	0.10936	0.63025	0.14552	0.26152
Phatr3_J13265	7	-0.0040452	-0.020011	0.84081	0.98614	0.98403	1	-0.15362	-0.96901	0.089686	0.70542	0.33254	1	-0.48171	-2.9628	0.02225	0.41501	0.0030481	0.088874	-0.32502	-2.0151	0.066867	0.5571	0.043898	0.12701
Phatr3_J48544	7	0.059178	0.26832	0.445	0.9071	0.78845	1	0.074032	0.42016	0.85112	0.98102	0.67437	1	0.21169	1.1602	0.91864	0.98792	0.24595	0.40968	0.20997	1.1517	0.78275	0.95951	0.24943	0.3788
Phatr3_J43517	7	-0.077455	-0.33433	0.15859	0.76818	0.73813	1	-0.064905	-0.34258	0.34977	0.85477	0.73191	1	0.25614	1.2739	0.95603	0.98974	0.20271	0.36339	0.35942	1.7939	0.8271	0.96758	0.072837	0.16641
Phatr3_J41522	7	0.057737	0.27124	0.45726	0.9071	0.78621	1	-0.13196	-0.79377	0.13238	0.74162	0.42733	1	-0.074433	-0.4399	0.29473	0.80848	0.66001	0.78147	-0.15632	-0.92873	0.168	0.70427	0.35303	0.4864
Phatr3_J43501	7	-0.062738	-0.40219	0.24575	0.83339	0.68755	1	-0.10094	-0.81451	0.21563	0.79428	0.41535	1	-0.16716	-1.3043	0.17917	0.71384	0.19214	0.3522	-0.0040234	-0.031621	0.34467	0.82242	0.97477	0.99219
Phatr3_EG02638	7	-0.070971	-0.40454	0.19326	0.8027	0.68581	1	0.0077221	0.055571	0.7338	0.95737	0.95568	1	0.057402	0.40403	0.53225	0.89789	0.68619	0.80107	0.064767	0.45842	0.46262	0.86928	0.64665	0.75258
Phatr3_J31662	7	-0.014859	-0.080338	0.70827	0.9602	0.93597	1	-0.010045	-0.069748	0.63022	0.94436	0.94439	1	-0.1946	-1.3314	0.15303	0.68698	0.18306	0.34268	-0.16062	-1.1063	0.16423	0.70329	0.26859	0.39937
Phatr3_J48392	7	0.042486	0.17704	0.60274	0.93571	0.85948	1	-0.017722	-0.094897	0.58618	0.93278	0.9244	1	0.42217	2.2377	0.50873	0.89408	0.025241	0.17352	0.52738	2.8089	0.41553	0.85463	0.0049714	0.064686
Phatr3_J43759	7	-0.081502	-0.45261	0.13928	0.75594	0.65083	1	-0.11021	-0.77069	0.18785	0.78007	0.44089	1	-0.32506	-2.2104	0.068673	0.59029	0.027079	0.17667	-0.41065	-2.8107	0.04002	0.49009	0.0049437	0.064686
Phatr3_J25394	7	-0.038962	-0.20927	0.44465	0.9071	0.83424	1	-0.1118	-0.76943	0.18323	0.78007	0.44164	1	-0.4705	-3.1816	0.024239	0.42145	0.0014647	0.059201	-0.34213	-2.333	0.05993	0.54026	0.01965	0.091519
Phatr3_J47417	7	0.047042	0.11815	0.5563	0.93072	0.90595	1	0.03279	0.10083	0.89109	0.98878	0.91968	1	0.85973	2.5752	0.017235	0.3847	0.010018	0.14599	0.80884	2.4156	0.061635	0.54476	0.01571	0.084501
