Gene	sgRNA	t1_NH4_growth|beta	t1_NH4_growth|z	t1_NH4_growth|p-value	t1_NH4_growth|fdr	t1_NH4_growth|wald-p-value	t1_NH4_growth|wald-fdr	t2_N_stress|beta	t2_N_stress|z	t2_N_stress|p-value	t2_N_stress|fdr	t2_N_stress|wald-p-value	t2_N_stress|wald-fdr	t3_NH4_recovery|beta	t3_NH4_recovery|z	t3_NH4_recovery|p-value	t3_NH4_recovery|fdr	t3_NH4_recovery|wald-p-value	t3_NH4_recovery|wald-fdr	t3_NO3_recovery|beta	t3_NO3_recovery|z	t3_NO3_recovery|p-value	t3_NO3_recovery|fdr	t3_NO3_recovery|wald-p-value	t3_NO3_recovery|wald-fdr
Phatr3_J44729	7	-0.053664	-0.26518	0.31349	0.87426	0.79087	1	0.14993	0.93239	0.44717	0.89645	0.35114	1	0.0070174	0.041769	0.42976	0.86815	0.96668	0.98875	-0.13643	-0.80845	0.18475	0.71718	0.41883	0.54968
Phatr3_J48711	7	-0.035072	-0.15951	0.48292	0.91116	0.87326	1	-0.12506	-0.7117	0.14829	0.75523	0.47665	1	-0.34472	-1.8996	0.060247	0.57213	0.057492	0.20344	-0.50421	-2.7934	0.021548	0.40535	0.0052165	0.065904
Phatr3_J46095	7	0.037482	0.17585	0.65689	0.94787	0.86041	1	-0.17882	-1.0652	0.055901	0.65573	0.28679	1	-0.30317	-1.7574	0.078653	0.60269	0.078856	0.22704	-0.38762	-2.2587	0.045938	0.51287	0.023903	0.097865
Phatr3_J47588	7	-0.070453	-0.31867	0.19646	0.80346	0.74998	1	0.039482	0.22594	0.93302	0.99233	0.82125	1	0.26185	1.4625	0.93992	0.98833	0.1436	0.29966	0.4826	2.714	0.5156	0.88704	0.0066469	0.06774
Phatr3_J48823	7	0.062699	0.2211	0.4164	0.90578	0.82502	1	0.016165	0.070666	0.78544	0.96617	0.94366	1	0.22961	0.97081	0.96844	0.994	0.33164	0.49865	0.2679	1.137	0.93071	0.9901	0.25554	0.38538
Phatr3_J49339	7	-0.071259	-0.27536	0.19164	0.80168	0.78304	1	-0.049808	-0.24629	0.41805	0.88534	0.80546	1	0.433	2.1172	0.48322	0.88805	0.034243	0.18298	0.61842	3.0426	0.2505	0.76925	0.0023453	0.050105
Phatr3_J50514	7	-0.015739	-0.063195	0.69723	0.95741	0.94961	1	0.17326	0.87521	0.35092	0.85565	0.38146	1	0.39215	1.922	0.58315	0.91333	0.05461	0.20147	0.45852	2.2504	0.57222	0.90472	0.024421	0.098617
Phatr3_J14571	7	0.041698	0.12581	0.61107	0.93753	0.89988	1	0.047511	0.18244	0.98368	0.99829	0.85524	1	0.52256	1.9787	0.29477	0.80848	0.047848	0.19421	0.61503	2.3385	0.25617	0.77288	0.019364	0.091495
Phatr3_J36133	7	-0.025724	-0.11464	0.58225	0.93405	0.90873	1	0.07357	0.41008	0.85416	0.98146	0.68174	1	-0.01021	-0.054809	0.39865	0.85591	0.95629	0.98207	-0.068825	-0.37002	0.25836	0.77555	0.71137	0.80306
Phatr3_EG01603	7	0.0409	0.14845	0.61969	0.94123	0.88198	1	0.10605	0.48869	0.66499	0.94965	0.62506	1	0.3686	1.6619	0.64544	0.9279	0.096542	0.24844	0.53994	2.4461	0.39049	0.84384	0.014443	0.082498
Phatr3_J49101	7	0.095691	0.4416	0.20664	0.81148	0.65878	1	0.057113	0.33352	0.95518	0.99587	0.73874	1	0.11299	0.64419	0.6611	0.93183	0.51945	0.6689	0.028937	0.16548	0.39835	0.84755	0.86856	0.91668
Phatr3_EG00322	7	-0.012831	-0.057799	0.73288	0.96378	0.95391	1	-0.0043614	-0.024732	0.66282	0.94873	0.98027	1	-0.092289	-0.51172	0.26869	0.78763	0.60885	0.74172	0.033573	0.18741	0.40714	0.84983	0.85134	0.90481
Phatr3_EG01255	7	-0.075787	-0.31925	0.16677	0.77453	0.74954	1	0.083684	0.43834	0.7933	0.96935	0.66114	1	0.41519	2.114	0.52578	0.89671	0.034515	0.18347	0.51661	2.6402	0.43882	0.86341	0.0082855	0.072893
Phatr3_J49300	7	0.036428	0.19537	0.6678	0.949	0.84511	1	-0.23098	-1.533	0.017787	0.51569	0.12527	1	0.20248	1.2856	0.8935	0.98359	0.19857	0.35951	0.13475	0.85545	0.60537	0.91551	0.3923	0.52386
Phatr3_J43579	7	-0.064514	-0.28508	0.23388	0.82923	0.77558	1	-0.21268	-1.1639	0.027566	0.59088	0.24445	1	-0.045673	-0.2362	0.33833	0.83163	0.81328	0.89152	0.075867	0.3947	0.48372	0.87221	0.69307	0.78775
Phatr3_J45064	7	0.20717	0.46346	0.01319	0.42193	0.64303	1	0.14021	0.39381	0.49126	0.90927	0.69372	1	0.66766	1.8346	0.10423	0.6359	0.066571	0.21272	0.71133	1.9549	0.13394	0.66399	0.050595	0.13627
Phatr3_J48919	7	-0.035739	-0.18041	0.47599	0.90895	0.85683	1	-0.047468	-0.30689	0.42961	0.88982	0.75893	1	0.081637	0.51957	0.58719	0.91333	0.60336	0.73727	0.21727	1.391	0.801	0.96318	0.16423	0.28373
Phatr3_J49683	7	0.03665	0.12588	0.6657	0.94898	0.89983	1	0.12149	0.5311	0.58465	0.93278	0.59535	1	0.44294	1.9076	0.45961	0.87547	0.05644	0.2033	0.55331	2.3931	0.36391	0.83442	0.016707	0.085714
Phatr3_J19211	7	0.033283	0.13117	0.70331	0.95869	0.89564	1	0.1434	0.71956	0.47648	0.90689	0.4718	1	0.30307	1.4882	0.82476	0.9739	0.1367	0.29211	0.3916	1.9289	0.74044	0.95131	0.053744	0.14042
Phatr3_J46122	7	0.018509	0.12055	0.878	0.98951	0.90405	1	-0.0914	-0.76502	0.24662	0.80551	0.44426	1	-0.28027	-2.3116	0.091959	0.62254	0.020798	0.17069	-0.35105	-2.915	0.056988	0.5324	0.0035564	0.057581
Phatr3_EG02546	7	0.048548	0.12365	0.54194	0.92525	0.90159	1	0.20341	0.6184	0.24778	0.80696	0.53631	1	0.70012	2.0377	0.079154	0.60434	0.041578	0.18958	0.73424	2.1325	0.11291	0.63376	0.032965	0.11145
Phatr3_J14599	7	-0.037947	-0.27422	0.45415	0.9071	0.78391	1	-0.067615	-0.62458	0.33728	0.85301	0.53224	1	0.27106	2.455	0.91349	0.98766	0.014087	0.15885	0.095012	0.86064	0.52315	0.89096	0.38944	0.52117
Phatr3_J45784	7	0.016825	0.070921	0.8987	0.98999	0.94346	1	0.35991	1.8345	0.02454	0.55955	0.066578	1	0.16126	0.76916	0.78273	0.96164	0.4418	0.6029	0.02891	0.13569	0.39831	0.84755	0.89206	0.93394
Phatr3_J45414	7	0.19267	0.45092	0.018957	0.4867	0.65205	1	0.2198	0.65962	0.20313	0.78877	0.5095	1	0.49244	1.4605	0.35194	0.83837	0.14416	0.30022	0.55011	1.6354	0.37001	0.83635	0.10196	0.20624
Phatr3_J43154	7	-0.10227	-0.51452	0.067452	0.66306	0.60689	1	-0.12649	-0.80022	0.14527	0.75495	0.42358	1	-0.2745	-1.6813	0.095169	0.62755	0.092711	0.2433	-0.47526	-2.923	0.026312	0.43087	0.0034669	0.05749
Phatr3_J3137	7	-0.1027	-0.53487	0.066215	0.66182	0.59274	1	-0.21696	-1.4363	0.024691	0.55955	0.15093	1	-0.65689	-4.2149	0.0054497	0.2608	2.4986e-05	0.0039199	-0.56838	-3.676	0.013908	0.34098	0.0002369	0.011568
Phatr3_EG01449	7	-0.033247	-0.16916	0.50122	0.9154	0.86567	1	-0.051594	-0.32229	0.40956	0.8802	0.74724	1	-0.057623	-0.33802	0.31922	0.82048	0.73535	0.8357	-0.024422	-0.14351	0.31571	0.80678	0.88589	0.92923
Phatr3_J15355	7	0.039048	0.12072	0.63826	0.9451	0.90391	1	0.13514	0.49093	0.51603	0.92084	0.62347	1	0.58297	1.9672	0.19871	0.73859	0.049156	0.19664	0.57475	1.923	0.32447	0.81162	0.054479	0.14148
Phatr3_J43320	7	-0.0013861	-0.0054645	0.87469	0.98951	0.99564	1	-0.045999	-0.22661	0.43654	0.89176	0.82073	1	0.29595	1.4177	0.84472	0.97651	0.15629	0.31315	0.4224	2.0346	0.66272	0.9275	0.041896	0.12392
Phatr3_J46353	7	0.028723	0.1334	0.75593	0.9682	0.89388	1	-0.046445	-0.26548	0.4345	0.89166	0.79064	1	0.24191	1.3376	0.99682	0.99859	0.18103	0.34011	0.31911	1.7724	0.93499	0.9901	0.076332	0.17121
Phatr3_J49425	7	-0.077599	-0.38125	0.15789	0.76764	0.70302	1	0.0014765	0.0089733	0.69669	0.95165	0.99284	1	0.031458	0.18057	0.47675	0.88389	0.85671	0.92023	0.29836	1.7318	0.98932	0.99807	0.083311	0.18109
Phatr3_J19324	7	-0.025151	-0.10723	0.58905	0.93532	0.91461	1	-0.23119	-1.2254	0.01772	0.51569	0.22042	1	-0.32074	-1.6349	0.070612	0.59188	0.10207	0.25495	-0.74557	-3.8097	0.0040455	0.20944	0.00013914	0.0076617
Phatr3_EG01047	3	-0.036129	-0.11186	0.57859	0.93405	0.91094	1	-0.22527	-0.88397	0.12268	0.7362	0.37671	1	-0.78396	-2.9923	0.050217	0.55226	0.0027685	0.083845	-0.51405	-1.9819	0.16595	0.70427	0.047488	0.13185
Phatr3_J35692	7	-0.09889	-0.60352	0.076931	0.68273	0.54616	1	0.13716	1.0677	0.50605	0.91695	0.28566	1	-0.0057617	-0.043765	0.40657	0.85988	0.96509	0.98773	0.12566	0.95946	0.58541	0.90744	0.33733	0.47146
Phatr3_J20192	7	0.0015673	0.0043845	0.91361	0.99272	0.9965	1	0.25517	0.88141	0.12678	0.7409	0.37809	1	0.59547	2.006	0.18119	0.71521	0.044861	0.19201	0.58513	1.9694	0.30642	0.80009	0.048907	0.13359
Phatr3_EG01533	7	-0.040268	-0.20116	0.43208	0.9071	0.84057	1	-0.057917	-0.36014	0.38036	0.86655	0.71874	1	0.19644	1.1959	0.878	0.98094	0.23174	0.39507	0.18007	1.1017	0.71003	0.94239	0.27057	0.40128
Phatr3_J48215	7	0.027185	0.082032	0.77319	0.97352	0.93462	1	0.050846	0.19348	0.99519	0.9995	0.84658	1	0.63802	2.3822	0.13098	0.66897	0.017208	0.16568	0.79653	2.9862	0.068673	0.55997	0.0028249	0.054249
Phatr3_J49205	7	0.13293	0.21544	0.085557	0.69362	0.82943	1	0.34255	0.70084	0.033434	0.62696	0.4834	1	0.80036	1.6158	0.030726	0.46348	0.10614	0.25872	0.74318	1.498	0.1058	0.62478	0.13414	0.2474
Phatr3_EG01725	7	-0.047873	-0.25664	0.36215	0.89066	0.79746	1	-0.044992	-0.29857	0.44169	0.89485	0.76527	1	-0.081221	-0.50644	0.28427	0.80141	0.61255	0.7445	-0.1902	-1.1814	0.14117	0.67371	0.23746	0.3653
Phatr3_J44251	7	-0.021112	-0.084887	0.63487	0.94509	0.93235	1	-0.096407	-0.49381	0.22987	0.80087	0.62144	1	0.42639	2.152	0.49853	0.89139	0.0314	0.18016	0.52985	2.689	0.41078	0.85042	0.0071669	0.069433
Phatr3_EG00445	7	0.10207	0.28717	0.1793	0.78636	0.77398	1	0.24884	0.89446	0.1386	0.74766	0.37107	1	0.33565	1.1896	0.73424	0.94873	0.23419	0.39731	0.53917	1.9201	0.39188	0.84398	0.054844	0.1419
Phatr3_EG02462	7	0.023851	0.14077	0.81245	0.98187	0.88805	1	0.12483	0.91368	0.56807	0.93111	0.36088	1	-0.27916	-1.9444	0.092528	0.62261	0.051843	0.19861	-0.24807	-1.7349	0.10294	0.62165	0.082753	0.1804
Phatr3_EG00939	7	-0.0186	-0.086848	0.66387	0.94867	0.93079	1	-0.14157	-0.83228	0.11187	0.73107	0.40525	1	0.40058	2.2838	0.56237	0.90829	0.022382	0.17201	0.31104	1.7706	0.95645	0.99436	0.076627	0.17162
Phatr3_J46051	7	0.088146	0.31398	0.24505	0.83329	0.75354	1	0.045771	0.20443	0.97337	0.9981	0.83802	1	0.37892	1.6452	0.61724	0.9202	0.099924	0.25253	0.50264	2.1932	0.47001	0.87197	0.028296	0.10449
Phatr3_J40315	7	-0.02405	-0.13497	0.60084	0.93571	0.89264	1	-0.050668	-0.3548	0.41364	0.8812	0.72274	1	0.16184	1.1	0.78435	0.96207	0.27131	0.43711	0.17987	1.227	0.70965	0.94239	0.21984	0.3457
Phatr3_J3559	7	0.11011	0.27958	0.14811	0.76084	0.7798	1	0.49563	1.5626	0.0017051	0.136	0.11815	1	0.22105	0.66512	0.9446	0.98833	0.50597	0.65856	0.35184	1.0626	0.84784	0.97253	0.28794	0.42007
Phatr3_J35951	7	-0.0059982	-0.024834	0.81677	0.98209	0.98019	1	0.14068	0.73351	0.48928	0.90851	0.46325	1	0.21441	1.0842	0.92578	0.98809	0.27826	0.4443	0.22272	1.1287	0.81429	0.96438	0.25902	0.38946
Phatr3_J6940	7	-0.068806	-0.35376	0.20657	0.81148	0.72352	1	-0.090136	-0.59081	0.25145	0.80985	0.55465	1	-0.61707	-3.9556	0.0078235	0.30619	7.6328e-05	0.0085345	-0.33552	-2.1709	0.062671	0.5465	0.029941	0.10699
Phatr3_EG01796	7	0.11704	0.41757	0.12609	0.74348	0.67626	1	0.062738	0.27551	0.92105	0.99233	0.78293	1	0.46572	1.9592	0.40881	0.86104	0.050087	0.19806	0.57857	2.4431	0.31784	0.80919	0.014562	0.082656
Phatr3_J12612	7	-0.046266	-0.15226	0.37551	0.89196	0.87898	1	0.027972	0.11664	0.85956	0.98258	0.90715	1	0.37356	1.5295	0.6319	0.92296	0.12614	0.2807	0.53017	2.1837	0.40998	0.85023	0.028984	0.10537
Phatr3_J28984	7	-0.020385	-0.074852	0.64351	0.94655	0.94033	1	-0.091563	-0.41705	0.24587	0.80551	0.67664	1	0.52861	2.3273	0.28435	0.80141	0.019949	0.16999	0.61008	2.6942	0.26441	0.77929	0.0070552	0.069279
Phatr3_EG01553	7	0.061547	0.21149	0.4262	0.9071	0.8325	1	0.27296	1.1783	0.09878	0.71389	0.23869	1	0.41956	1.7434	0.51503	0.89533	0.081268	0.23038	0.41364	1.7124	0.68477	0.93274	0.086823	0.1859
Phatr3_J6934	7	-0.058555	-0.1833	0.27566	0.85862	0.85456	1	0.14203	0.56153	0.48283	0.90689	0.57444	1	0.55064	2.1398	0.24674	0.77203	0.032369	0.18173	0.62833	2.45	0.23591	0.76115	0.014286	0.082333
Phatr3_EG00251	7	-0.063388	-0.28397	0.24144	0.8327	0.77644	1	-0.11071	-0.62128	0.18643	0.78007	0.53442	1	0.15561	0.8441	0.76767	0.95722	0.39861	0.56505	0.25979	1.4168	0.90983	0.98831	0.15655	0.27454
Phatr3_J46419	7	-0.05725	-0.2089	0.28536	0.86358	0.83452	1	0.054867	0.2544	0.96974	0.99773	0.79918	1	0.57501	2.6243	0.20993	0.74176	0.0086822	0.13903	0.62238	2.8491	0.24462	0.76472	0.0043844	0.062404
Phatr3_J43016	366	0	0	0.0011535	0.099281	1	1	0	0	0.00085256	0.073913	1	1	0	0	0.00038449	0.038017	1	1	0	0	0.00031762	0.029457	1	1
Phatr3_J44785	7	0.0065134	0.02878	0.97533	0.996	0.97704	1	-0.004619	-0.025787	0.6615	0.9486	0.97943	1	0.13282	0.72607	0.70946	0.94406	0.4678	0.62597	0.30623	1.685	0.96894	0.99564	0.091988	0.19301
Phatr3_EG01258	2	0.19145	0.43497	0.23101	0.82798	0.66358	1	0.15961	0.43513	0.64077	0.94713	0.66347	1	-0.29547	-0.76212	0.4727	0.88228	0.44599	0.60669	-0.67455	-1.7366	0.21483	0.75036	0.082461	0.18003
Phatr3_J26742	7	0.061304	0.2614	0.42844	0.9071	0.79378	1	-0.037928	-0.20702	0.47728	0.90689	0.836	1	0.25618	1.3765	0.95593	0.98974	0.16866	0.32651	0.42546	2.2986	0.65451	0.92582	0.021526	0.094511
Phatr3_J40996	7	-0.021887	-0.094909	0.62523	0.94268	0.92439	1	0.013621	0.07383	0.76946	0.96406	0.94115	1	0.25894	1.3539	0.94823	0.98833	0.17578	0.33462	0.38616	2.0276	0.75553	0.95532	0.042603	0.12496
Phatr3_J12095	7	0.038175	0.11528	0.64863	0.9466	0.90822	1	-0.090354	-0.33119	0.25065	0.80985	0.7405	1	0.40966	1.4462	0.53974	0.89946	0.14812	0.30512	-0.072914	-0.25486	0.25306	0.77127	0.79883	0.86843
Phatr3_J44673	7	-0.061735	-0.26675	0.25239	0.83994	0.78966	1	0.18399	0.97496	0.31189	0.84571	0.32958	1	0.24607	1.2205	0.98502	0.99637	0.22226	0.38433	0.35302	1.7555	0.84417	0.9717	0.07918	0.17526
Phatr3_EG00779	7	-0.015746	-0.047532	0.69714	0.95741	0.96209	1	-0.014425	-0.054282	0.60507	0.93914	0.95671	1	0.52165	1.9174	0.29657	0.80988	0.055181	0.20185	0.59198	2.1858	0.29365	0.79177	0.028833	0.10527
Phatr3_J15688	7	0.057901	0.26017	0.45585	0.9071	0.79473	1	-0.16897	-0.92548	0.066968	0.67559	0.35472	1	0.018023	0.092647	0.45074	0.87295	0.92618	0.96389	0.063025	0.32491	0.4597	0.86847	0.74525	0.8287
Phatr3_J45734	7	-0.012322	-0.037754	0.7396	0.96455	0.96988	1	0.1831	0.69359	0.31536	0.84571	0.48794	1	0.56763	2.0948	0.22113	0.74965	0.036185	0.18372	0.5513	2.0342	0.36772	0.83635	0.041935	0.12397
Phatr3_EG01504	7	-0.078561	-0.32607	0.15329	0.76546	0.74437	1	0.0006216	0.0031117	0.69204	0.95165	0.99752	1	0.36739	1.7641	0.64818	0.92859	0.077721	0.22602	0.434	2.0886	0.63332	0.92002	0.036741	0.11644
Phatr3_J49057	7	-0.11568	-0.43414	0.040672	0.62076	0.66419	1	0.033243	0.1498	0.89402	0.98896	0.88092	1	0.47145	1.9986	0.39617	0.85591	0.04565	0.19251	0.52814	2.2378	0.41418	0.85317	0.025236	0.09974
Phatr3_J46780	7	-0.022371	-0.11388	0.62009	0.94123	0.90933	1	0.033176	0.21423	0.89348	0.98892	0.83037	1	-0.13891	-0.87377	0.2098	0.74173	0.38224	0.55025	0.19263	1.222	0.74044	0.95131	0.22171	0.34773
Phatr3_J4896	7	-0.11641	-0.50276	0.039535	0.61534	0.61514	1	-0.25095	-1.2404	0.01095	0.42532	0.21482	1	0.45068	2.0121	0.44149	0.86975	0.044205	0.19179	0.56448	2.5279	0.34328	0.82222	0.011474	0.078169
Phatr3_Jdraft1820	7	0.019412	0.068332	0.86652	0.98951	0.94552	1	0.10103	0.44571	0.69328	0.95165	0.65581	1	0.32407	1.3908	0.76563	0.95686	0.16429	0.32127	0.52347	2.259	0.42374	0.8565	0.023886	0.097865
Phatr3_EG00981	7	-0.0051294	-0.017868	0.82723	0.98399	0.98574	1	0.049978	0.22303	0.9992	0.99965	0.82351	1	0.46315	2.0411	0.41411	0.86282	0.041245	0.18874	0.61962	2.7429	0.24885	0.76791	0.0060908	0.067432
Phatr3_J33360	7	0.089017	0.18169	0.24005	0.8327	0.85583	1	0.16293	0.41746	0.39214	0.87239	0.67634	1	0.75501	1.8958	0.048713	0.54826	0.057987	0.20344	0.84283	2.1206	0.045386	0.51275	0.033956	0.11257
Phatr3_Jdraft1750	7	-0.05536	-0.20077	0.29977	0.87271	0.84088	1	-0.058261	-0.26669	0.37865	0.86623	0.7897	1	0.32003	1.4372	0.77693	0.95962	0.15066	0.30756	0.51354	2.323	0.44567	0.86531	0.020177	0.092395
Phatr3_J21682	7	-0.018531	-0.083611	0.66474	0.94867	0.93337	1	0.091944	0.51353	0.7454	0.9586	0.60758	1	0.25957	1.4022	0.94652	0.98833	0.16086	0.31823	0.25944	1.4033	0.90874	0.98831	0.16052	0.2795
Phatr3_J44074	7	-0.052716	-0.22223	0.32108	0.87507	0.82414	1	-0.035569	-0.19013	0.48917	0.90851	0.84921	1	0.39641	2.0827	0.57218	0.9094	0.037278	0.18448	0.34423	1.8156	0.86785	0.97948	0.069426	0.16176
Phatr3_J50527	7	-0.032727	-0.16655	0.50689	0.91566	0.86772	1	-0.066635	-0.43681	0.34194	0.85301	0.66225	1	-0.28168	-1.8264	0.091207	0.62254	0.067786	0.21364	-0.22481	-1.4694	0.11718	0.6354	0.14172	0.25705
Phatr3_J13864	7	-0.021022	-0.080505	0.63584	0.94509	0.93584	1	-0.059471	-0.28351	0.37367	0.86439	0.77679	1	0.27678	1.2793	0.89723	0.98522	0.20079	0.36151	0.38374	1.7827	0.76174	0.95639	0.074631	0.16891
Phatr3_J13243	349	0	0	0.0011535	0.099281	1	1	0	0	0.00085256	0.073913	1	1	0	0	0.00038449	0.038017	1	1	0	0	0.00031762	0.029457	1	1
Phatr3_J43428	7	-0.049219	-0.21462	0.35013	0.886	0.83007	1	-0.035764	-0.19924	0.48828	0.90851	0.84207	1	-0.62903	-3.4408	0.0068706	0.29014	0.00058004	0.031688	-0.84892	-4.6807	0.0014376	0.10361	2.8587e-06	0.00047501
Phatr3_EG01171	7	-0.072944	-0.37024	0.18233	0.79051	0.7112	1	-0.12687	-0.78607	0.14453	0.75446	0.43182	1	-0.34652	-2.0267	0.059763	0.57213	0.042694	0.19024	-0.29769	-1.7513	0.078251	0.57925	0.079897	0.1762
Phatr3_J44571	7	0.03388	0.16625	0.69587	0.95727	0.86796	1	-0.19732	-1.2121	0.038616	0.64603	0.22547	1	-0.30479	-1.7984	0.07785	0.60181	0.072113	0.21983	-0.65093	-3.846	0.0077232	0.27069	0.00012008	0.0069068
Phatr3_J36913	7	-0.082585	-0.40929	0.13445	0.75135	0.68233	1	-0.091934	-0.5713	0.24462	0.80551	0.5678	1	0.011404	0.06849	0.43811	0.86827	0.9454	0.97586	-0.043191	-0.26021	0.29017	0.79081	0.7947	0.86513
Phatr3_J45854	7	-0.039698	-0.17884	0.4375	0.9071	0.85807	1	-0.025505	-0.14409	0.54238	0.92487	0.88543	1	0.15016	0.82522	0.75368	0.95461	0.40925	0.57508	0.23955	1.3236	0.85675	0.97526	0.18564	0.30834
Phatr3_J36446	7	-0.053065	-0.24412	0.31804	0.87477	0.80714	1	-0.069434	-0.39421	0.32972	0.85098	0.69342	1	0.068318	0.37436	0.55707	0.90602	0.70814	0.8174	0.0611	0.33634	0.45588	0.8658	0.73661	0.82248
Phatr3_J34899	7	-0.075256	-0.34713	0.16956	0.77795	0.7285	1	0.02823	0.1652	0.8608	0.98258	0.86879	1	0.0017586	0.010066	0.42011	0.86527	0.99197	1	0.11047	0.6365	0.55413	0.89966	0.52445	0.64692
Phatr3_EG01822	7	-0.043352	-0.19846	0.40112	0.90139	0.84268	1	-0.091385	-0.51318	0.24674	0.80568	0.60783	1	0.27078	1.4485	0.91408	0.98772	0.14747	0.30456	0.29848	1.5987	0.98905	0.99807	0.10989	0.21662
Phatr3_J50304	7	-0.12864	-0.50195	0.023938	0.53633	0.6157	1	-0.078965	-0.35142	0.29169	0.83489	0.72527	1	0.70254	2.8644	0.0777	0.60181	0.0041786	0.10239	0.80081	3.2706	0.066148	0.55579	0.0010732	0.032261
Phatr3_J48056	7	0.014299	0.069338	0.92919	0.9941	0.94472	1	-0.18932	-1.1157	0.04552	0.65573	0.26454	1	0.058787	0.32989	0.53557	0.89789	0.74148	0.84038	0.095122	0.53617	0.52334	0.89115	0.59184	0.70716
Phatr3_J17115	7	0.052436	0.18865	0.50405	0.9154	0.85037	1	0.20488	0.90642	0.24325	0.80551	0.36472	1	0.34561	1.4602	0.70824	0.94406	0.14423	0.30031	0.41224	1.7426	0.68835	0.93429	0.081401	0.17839
Phatr3_J22677	7	-0.10249	-0.44325	0.066867	0.66277	0.65758	1	-0.0115	-0.059533	0.62195	0.94436	0.95253	1	0.36835	1.7676	0.64604	0.9279	0.077125	0.22526	0.43982	2.1115	0.61939	0.91834	0.034729	0.11346
Phatr3_EG02422	7	0.017683	0.062569	0.88796	0.98951	0.95011	1	0.11031	0.48823	0.64203	0.94723	0.62539	1	0.16156	0.6926	0.78367	0.9619	0.48856	0.64353	0.31837	1.3736	0.93678	0.99016	0.16957	0.2896
Phatr3_J32255	7	0.066206	0.21666	0.38873	0.89602	0.82847	1	0.019537	0.072926	0.80627	0.97142	0.94186	1	0.64381	2.2169	0.12538	0.66313	0.026628	0.17581	0.65521	2.2407	0.19926	0.72985	0.025044	0.099379
Phatr3_J46310	7	-0.023028	-0.071499	0.61227	0.93793	0.943	1	0.12582	0.48504	0.56304	0.93111	0.62765	1	0.60959	2.2868	0.16361	0.69662	0.02221	0.17201	0.58911	2.2085	0.2991	0.79527	0.027209	0.10272
Phatr3_J36568	7	0.073931	0.24257	0.33372	0.87952	0.80833	1	0.27218	1.1234	0.099716	0.71405	0.26126	1	0.24549	0.98967	0.98668	0.99664	0.32234	0.49001	0.4316	1.7489	0.63903	0.9204	0.080302	0.17687
Phatr3_J49656	7	-0.044809	-0.13242	0.38808	0.8953	0.89465	1	0.083821	0.29515	0.79243	0.96921	0.76788	1	0.66997	2.236	0.10211	0.63263	0.025352	0.17352	0.80216	2.6891	0.06553	0.55395	0.0071641	0.069433
Phatr3_J44652	7	0.022795	0.063064	0.82503	0.98353	0.94972	1	0.18441	0.64678	0.31023	0.84516	0.51777	1	0.63702	2.2068	0.13218	0.6694	0.027326	0.17703	0.69394	2.4114	0.15246	0.68597	0.015893	0.084623
Phatr3_J11248	7	-0.068253	-0.22441	0.20988	0.81448	0.82244	1	0.19918	0.80563	0.26048	0.81698	0.42046	1	0.22903	0.88732	0.96678	0.99347	0.37491	0.54329	0.54537	2.1344	0.37935	0.84107	0.032814	0.11121
Phatr3_EG01389	7	0.0069466	0.030737	0.98091	0.99652	0.97548	1	-0.042813	-0.23252	0.45229	0.90007	0.81614	1	0.1133	0.58862	0.66189	0.93218	0.55612	0.6994	0.13531	0.7045	0.60665	0.9163	0.48112	0.60738
Phatr3_J45070	7	-0.066365	-0.23941	0.2223	0.82781	0.81079	1	0.066323	0.29636	0.89853	0.98965	0.76696	1	0.61088	2.6503	0.16205	0.69616	0.008041	0.1357	0.64218	2.7876	0.21662	0.75067	0.0053108	0.065911
Phatr3_J32459	7	0.044245	0.19605	0.58427	0.93405	0.84457	1	0.086053	0.47629	0.77939	0.96503	0.63387	1	0.44792	2.4129	0.44744	0.87243	0.015827	0.16391	0.40092	2.1607	0.7165	0.94387	0.030718	0.10802
Phatr3_J45855	7	0.014849	0.047555	0.92243	0.99396	0.96207	1	0.073487	0.28954	0.85475	0.98146	0.77217	1	0.5414	2.0537	0.26229	0.7849	0.040003	0.18768	0.56033	2.1244	0.35069	0.82468	0.033639	0.11209
Phatr3_EG02406	7	-0.033876	-0.12159	0.49524	0.91484	0.90322	1	-0.078221	-0.34099	0.29465	0.83639	0.73311	1	-0.15339	-0.62715	0.1935	0.7315	0.53056	0.67802	-0.035803	-0.1473	0.29962	0.79527	0.8829	0.92715
Phatr3_J44959	7	-0.041401	-0.19836	0.42081	0.9071	0.84276	1	-0.2313	-1.4243	0.017686	0.51569	0.15437	1	-0.29374	-1.7872	0.083768	0.60933	0.073909	0.22192	-0.048484	-0.29757	0.28342	0.78714	0.76603	0.84452
Phatr3_J35877	7	-0.070056	-0.37666	0.19916	0.80397	0.70642	1	-0.13259	-0.90455	0.13083	0.7409	0.3657	1	0.05651	0.37619	0.53044	0.89789	0.70678	0.81699	0.21718	1.4547	0.8007	0.96318	0.14575	0.26186
Phatr3_J43656	7	0.046767	0.18464	0.55923	0.93149	0.85351	1	0.017429	0.085259	0.79366	0.96935	0.93206	1	0.20336	0.91796	0.89602	0.98461	0.35864	0.52706	0.36758	1.6735	0.80553	0.96318	0.094223	0.19612
Phatr3_J39217	7	-0.09299	-0.39803	0.09542	0.70949	0.69061	1	0.046398	0.24257	0.97735	0.99817	0.80834	1	0.5101	2.5698	0.31767	0.81909	0.010176	0.14612	0.42928	2.1566	0.6453	0.92321	0.03104	0.10852
